MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Nuporanga,36.555,16.288,9.539,25.374,87.756,4.996,92.753,14.336
Ocauçu,11.008,1.191,5.506,6.788,24.493,894,25.387,6.057
Óleo,12.822,1.216,4.126,4.410,22.574,308,22.882,7.901
Olímpia,78.181,114.794,51.385,206.135,450.495,62.203,512.698,10.846
Onda Verde,18.626,13.840,4.981,31.247,68.694,8.685,77.379,21.645
Oriente,5.519,3.413,6.371,10.009,25.313,2.270,27.582,4.612
Orindiúva,23.145,26.334,7.381,18.834,75.693,10.478,86.171,18.831
Orlândia,24.858,193.458,47.701,345.885,611.902,116.899,728.801,19.572
Osasco,164,1.391.934,758.063,9.079.456,11.229.617,2.914.547,14.144.164,21.485
Oscar Bressane,7.291,2.548,4.339,5.535,19.713,995,20.708,8.156
Osvaldo Cruz,17.943,105.288,31.872,128.855,283.958,33.240,317.199,10.520
Ourinhos,32.787,306.189,116.805,529.750,985.531,125.181,1.110.711,11.482
Ouro Verde,6.600,1.541,10.090,13.636,31.867,2.253,34.120,4.636
Ouroeste,11.067,23.275,13.197,23.142,70.681,6.195,76.877,11.153
Pacaembu,8.451,2.810,14.797,24.643,50.701,3.649,54.350,4.257
Palestina,22.227,7.321,11.814,20.205,61.566,3.066,64.633,6.708
Palmares Paulista,12.988,5.068,10.557,13.745,42.359,1.702,44.060,4.810
Palmeira d'Oeste,17.313,2.647,11.117,21.795,52.872,2.171,55.043,5.422
Palmital,64.910,31.142,25.607,105.604,227.263,22.252,249.515,11.937
Panorama,7.594,8.444,16.751,36.147,68.935,5.120,74.055,5.304
Paraguaçu Paulista,66.291,80.574,49.910,127.157,323.933,24.330,348.263,8.586
Paraibuna,43.651,15.643,22.380,45.082,126.757,5.978,132.735,7.711
Paraíso,21.031,12.428,8.005,18.758,60.223,4.081,64.304,11.549
Paranapanema,37.250,8.097,22.241,46.036,113.624,6.863,120.488,7.427
Paranapuã,6.309,1.262,4.821,6.101,18.494,914,19.408,5.234
Parapuã,33.389,5.097,12.643,29.659,80.788,4.725,85.512,7.715
Pardinho,8.706,7.586,7.967,34.442,58.700,6.843,65.543,13.132
Pariquera-Açu,6.096,9.883,20.987,59.547,96.513,8.406,104.919,5.866
Parisi,4.554,1.387,3.868,2.879,12.688,422,13.109,6.641
Patrocínio Paulista,55.932,40.096,14.608,42.624,153.260,12.715,165.975,14.006
Paulicéia,5.010,1.790,7.726,9.017,23.543,1.732,25.274,4.481
Paulínia,11.125,4.303.344,266.354,2.944.258,7.525.080,1.372.111,8.897.191,147.998
Paulistânia,13.156,619,2.929,2.128,18.832,189,19.021,10.638
Paulo de Faria,37.541,5.214,10.805,22.455,76.014,2.223,78.238,9.167
Pederneiras,58.808,138.989,40.683,178.247,416.726,61.991,478.717,12.566
Pedra Bela,7.087,1.021,6.748,7.110,21.966,732,22.698,4.010
Pedranópolis,9.207,3.368,4.625,4.434,21.634,695,22.329,8.282
Pedregulho,35.402,231.159,18.181,30.957,315.699,2.536,318.235,20.851
Pedreira,5.842,104.447,48.131,125.198,283.619,45.247,328.865,8.850
Pedrinhas Paulista,12.665,2.777,5.129,12.478,33.049,1.636,34.685,11.985
Pedro de Toledo,15.431,3.680,12.176,14.831,46.119,1.590,47.709,5.018
Penápolis,54.444,102.124,62.425,223.550,442.542,40.544,483.086,8.645
Pereira Barreto,29.399,7.599,33.880,72.353,143.230,9.267,152.497,6.082
Pereiras,13.849,17.037,8.253,14.698,53.838,4.059,57.897,8.838
Peruíbe,9.709,30.446,78.948,159.616,278.718,20.474,299.192,5.537
Piacatu,10.909,5.275,6.140,9.453,31.777,1.227,33.003,6.849
Piedade,83.988,42.269,56.063,125.548,307.868,31.165,339.033,6.647
Pilar do Sul,33.391,5.197,27.641,52.211,118.440,9.206,127.646,5.150
Pindamonhangaba,25.268,738.772,150.105,709.099,1.623.244,417.896,2.041.140,15.389
Pindorama,20.295,19.512,16.153,33.443,89.403,14.054,103.458,7.556
Pinhalzinho,20.967,3.568,13.612,21.360,59.507,3.013,62.520,5.385
Piquerobi,7.825,1.674,5.455,5.370,20.324,849,21.173,6.055
Piquete,1.648,3.383,16.295,21.795,43.122,3.054,46.176,3.099
Piracaia,18.531,16.954,28.550,51.178,115.214,9.791,125.005,5.221
Piracicaba,117.580,1.833.501,414.110,2.274.228,4.639.419,835.350,5.474.768,16.097
Piraju,15.043,16.330,30.337,100.854,162.564,14.861,177.425,6.273
Pirajuí,16.760,14.955,22.593,52.020,106.328,7.371,113.699,5.434
Pirangi,21.369,9.780,11.037,31.881,74.067,5.165,79.232,7.742
Pirapora do Bom Jesus,27,18.135,20.373,47.639,86.174,12.926,99.101,7.407
Pirapozinho,11.089,52.380,24.736,67.836,156.041,19.120,175.161,7.614
Pirassununga,73.010,191.330,75.099,307.432,646.871,105.860,752.732,11.320
Piratininga,10.247,5.448,12.228,23.181,51.104,3.766,54.869,4.965
Pitangueiras,71.117,91.032,37.318,109.201,308.668,32.671,341.339,10.516
Planalto,14.492,3.735,5.157,6.494,29.878,942,30.820,7.895
Platina,15.965,3.111,4.700,5.783,29.559,952,30.511,10.283
Poá,536,325.647,108.858,1.806.373,2.241.414,276.949,2.518.364,25.502
Poloni,22.158,2.946,5.864,9.667,40.635,1.629,42.264,8.562
Pompéia,14.203,227.537,23.683,116.383,381.806,104.672,486.478,25.918
Pongaí,7.325,2.156,4.850,7.407,21.738,939,22.678,6.244
Pontal,45.477,113.203,37.704,107.284,303.668,42.776,346.444,10.609
Pontalinda,9.804,1.700,5.297,5.977,22.777,1.099,23.876,6.455
Pontes Gestal,3.147,1.213,4.056,3.417,11.832,1.428,13.260,5.239
Populina,9.837,902,5.862,6.372,22.972,491,23.464,5.348
Porangaba,4.712,8.872,8.242,12.217,34.043,3.061,37.103,5.181
Porto Feliz,58.327,105.347,52.348,137.416,353.438,37.689,391.127,8.381
Porto Ferreira,26.584,156.464,62.818,201.754,447.621,72.343,519.963,10.705
Potim,805,7.080,16.806,18.901,43.592,3.408,47.000,3.064
Potirendaba,13.880,12.391,17.712,36.220,80.203,7.672,87.876,6.206
Pracinha,2.307,313,2.737,1.820,7.178,172,7.350,3.949
Pradópolis,17.694,66.911,18.983,75.959,179.547,17.010,196.557,13.903
Praia Grande,634,211.780,299.367,703.978,1.215.758,91.572,1.307.331,6.127
Pratânia,18.675,3.775,5.401,6.062,33.913,1.191,35.104,8.436
Presidente Alves,9.923,3.648,5.337,7.802,26.709,1.163,27.872,6.549
Presidente Bernardes,21.252,4.685,18.890,34.357,79.185,4.547,83.731,5.800
Presidente Epitácio,17.592,77.168,45.973,136.836,277.569,28.920,306.490,7.663
Presidente Prudente,19.690,356.004,214.099,1.329.692,1.919.485,264.284,2.183.769,11.191
Presidente Venceslau,15.768,14.060,42.372,127.405,199.605,17.911,217.515,5.770
Promissão,42.961,140.839,37.430,114.741,335.971,35.248,371.219,11.425
Quadra,10.157,1.597,4.570,7.606,23.931,1.461,25.392,9.046
Quatá,40.103,19.427,15.102,32.323,106.955,8.587,115.542,9.652
Queiroz,23.393,1.539,3.405,4.668,33.006,555,33.561,14.107
Queluz,4.208,3.276,11.516,23.425,42.425,3.411,45.836,4.677
Quintana,7.118,5.435,6.094,9.586,28.234,2.137,30.370,5.424
Rafard,12.841,47.631,10.480,27.273,98.225,11.223,109.448,12.928
Rancharia,79.436,46.501,36.078,97.436,259.452,19.354,278.806,9.647
Redenção da Serra,3.012,824,5.812,4.782,14.431,509,14.940,3.751
Regente Feijó,18.701,26.701,20.390,71.407,137.200,19.671,156.870,8.987
Reginópolis,13.361,6.941,6.497,9.919,36.718,1.760,38.478,6.973
Registro,36.711,39.769,56.457,170.333,303.270,18.622,321.893,5.932
Restinga,29.859,5.055,8.284,11.877,55.075,1.386,56.461,9.586
Ribeira,2.216,535,4.535,3.271,10.557,576,11.133,3.196
Ribeirão Bonito,47.334,4.890,13.653,29.022,94.899,2.766,97.665,8.473
Ribeirão Branco,59.195,5.920,24.300,25.243,114.657,2.624,117.281,5.669
Ribeirão Corrente,11.645,1.675,6.126,5.633,25.078,472,25.550,6.397
Ribeirão do Sul,18.186,5.011,6.187,11.232,40.616,1.742,42.358,9.457
Ribeirão dos Índios,3.008,352,3.210,1.887,8.457,201,8.658,3.909
Ribeirão Grande,13.009,33.139,10.816,12.796,69.759,5.964,75.723,10.207
Ribeirão Pires,597,252.248,113.867,337.240,703.952,99.503,803.455,7.479
Ribeirão Preto,58.466,1.236.798,646.020,4.976.480,6.917.764,1.009.682,7.927.446,14.822
Rifaina,3.394,1.498,5.597,7.632,18.121,883,19.004,5.633
Rincão,47.644,5.774,12.509,23.166,89.092,2.766,91.859,8.839
Rinópolis,13.229,5.679,11.778,22.441,53.127,3.313,56.440,5.559
Rio Claro,35.147,1.002.233,231.952,873.554,2.142.886,406.415,2.549.301,14.697
Rio das Pedras,31.323,139.944,31.211,99.580,302.058,56.488,358.546,14.224
Rio Grande da Serra,172,46.975,38.881,58.328,144.356,15.611,159.967,4.081
Riolândia,20.024,4.355,9.681,20.227,54.286,2.876,57.163,6.282
Riversul,8.019,1.053,7.864,5.851,22.786,514,23.301,3.357
Rosana,12.386,439.173,35.464,52.935,539.959,10.627,550.585,23.871
Roseira,1.317,19.948,11.067,27.969,60.301,5.979,66.280,7.475
Rubiácea,17.328,4.202,3.727,5.862,31.118,734,31.851,13.091
Rubinéia,5.207,1.286,5.398,4.986,16.878,505,17.383,6.438
Sabino,8.759,3.927,7.580,11.156,31.422,1.646,33.068,6.636
Sagres,4.910,737,3.753,3.538,12.938,326,13.264,5.467
Sales,11.166,1.613,6.543,8.475,27.797,912,28.709,5.948
Sales Oliveira,36.503,19.985,11.359,31.720,99.566,6.598,106.164,10.995
Salesópolis,46.975,63.628,18.976,34.965,164.544,7.865,172.409,11.673
Salmourão,9.086,1.647,5.535,6.075,22.344,729,23.073,5.082
Saltinho,9.069,11.142,8.423,19.744,48.378,6.371,54.749,8.920
Salto,7.321,416.183,114.507,616.334,1.154.344,263.883,1.418.227,14.626
Salto de Pirapora,10.420,344.165,43.239,131.882,529.706,67.447,597.153,16.288
